Metric,value
Weighted Precision,0.8068255927576464
Weighted Recall,0.7222972972972973
Weighted F Measure,0.7496013417421413
Weighted True Positive Rate,0.7222972972972973
Weighted False Positive Rate,0.19025224945175526
